Noise: ,,Iteration: ,,Generations: ,,Agents per Strategy: ,
Generation 1
 / ,Tit For Tat,Pavlov,Generous Tit For Tat,Firm But Fair,Always Cooperate,Always Defect,Random,Tit For Two Tat,Grim/Spite,ZD-Extortion-2,ZD-GTFT-2
Tit For Tat,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),9900 / 10400 (100 Games),22480 / 22730 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),11357 / 11857 (100 Games),30000 / 30000 (100 Games)
Pavlov,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),22225 / 22745 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),17150 / 22755 (100 Games),30000 / 30000 (100 Games)
Generous Tit For Tat,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),8918 / 14328 (100 Games),21716 / 24366 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),14733 / 18983 (100 Games),30000 / 30000 (100 Games)
Firm But Fair,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),20181 / 28416 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),18929 / 26934 (100 Games),30000 / 30000 (100 Games)
Always Cooperate,,,,,13500 / 13500 (45 Games),0 / 50000 (100 Games),14895 / 40070 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),22389 / 35074 (100 Games),30000 / 30000 (100 Games)
Always Defect,,,,,,4500 / 4500 (45 Games),30104 / 4974 (100 Games),10800 / 9800 (100 Games),10400 / 9900 (100 Games),10400 / 9900 (100 Games),19116 / 7721 (100 Games)
Random,,,,,,,10005 / 10230 (45 Games),31484 / 18654 (100 Games),5750 / 29880 (100 Games),17641 / 24471 (100 Games),25768 / 21128 (100 Games)
Tit For Two Tat,,,,,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),15026 / 19616 (100 Games),30000 / 30000 (100 Games)
Grim/Spite,,,,,,,,,13500 / 13500 (45 Games),11158 / 11343 (100 Games),30000 / 30000 (100 Games)
ZD-Extortion-2,,,,,,,,,,4952 / 4962 (45 Games),23836 / 17411 (100 Games)
ZD-GTFT-2,,,,,,,,,,,13500 / 13500 (45 Games)
Generation 2
 / ,Tit For Tat,Pavlov,Generous Tit For Tat,Firm But Fair,Always Cooperate,Always Defect,Random,Tit For Two Tat,Grim/Spite,ZD-Extortion-2,ZD-GTFT-2
Tit For Tat,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),9900 / 10400 (100 Games),22447 / 22627 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),11588 / 12088 (100 Games),30000 / 30000 (100 Games)
Pavlov,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),22837 / 22317 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),16810 / 23005 (100 Games),30000 / 30000 (100 Games)
Generous Tit For Tat,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),8900 / 14400 (100 Games),21601 / 24356 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),15107 / 19247 (100 Games),30000 / 30000 (100 Games)
Firm But Fair,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),19857 / 28427 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),18726 / 26921 (100 Games),30000 / 30000 (100 Games)
Always Cooperate,,,,,13500 / 13500 (45 Games),0 / 50000 (100 Games),15267 / 39822 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),22770 / 34820 (100 Games),30000 / 30000 (100 Games)
Always Defect,,,,,,4500 / 4500 (45 Games),29696 / 5076 (100 Games),10800 / 9800 (100 Games),10400 / 9900 (100 Games),10400 / 9900 (100 Games),19480 / 7630 (100 Games)
Random,,,,,,,9975 / 10180 (45 Games),31355 / 18650 (100 Games),5714 / 29434 (100 Games),17506 / 24536 (100 Games),25728 / 21138 (100 Games)
Tit For Two Tat,,,,,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),15568 / 20218 (100 Games),30000 / 30000 (100 Games)
Grim/Spite,,,,,,,,,13500 / 13500 (45 Games),10982 / 11182 (100 Games),30000 / 30000 (100 Games)
ZD-Extortion-2,,,,,,,,,,4918 / 4893 (45 Games),23690 / 17095 (100 Games)
ZD-GTFT-2,,,,,,,,,,,13500 / 13500 (45 Games)
Generation 3
 / ,Tit For Tat,Pavlov,Generous Tit For Tat,Firm But Fair,Always Cooperate,Always Defect,Random,Tit For Two Tat,Grim/Spite,ZD-Extortion-2,ZD-GTFT-2
Tit For Tat,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),9900 / 10400 (100 Games),22360 / 22620 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),11287 / 11787 (100 Games),30000 / 30000 (100 Games)
Pavlov,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),22676 / 22466 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),17042 / 22877 (100 Games),30000 / 30000 (100 Games)
Generous Tit For Tat,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),8948 / 14208 (100 Games),21869 / 24489 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),14756 / 19021 (100 Games),30000 / 30000 (100 Games)
Firm But Fair,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),20016 / 28421 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),18646 / 26966 (100 Games),30000 / 30000 (100 Games)
Always Cooperate,,,,,13500 / 13500 (45 Games),0 / 50000 (100 Games),14919 / 40054 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),22725 / 34850 (100 Games),30000 / 30000 (100 Games)
Always Defect,,,,,,4500 / 4500 (45 Games),29696 / 5076 (100 Games),10800 / 9800 (100 Games),10400 / 9900 (100 Games),10400 / 9900 (100 Games),19172 / 7707 (100 Games)
Random,,,,,,,10376 / 10011 (45 Games),31482 / 18737 (100 Games),5583 / 29918 (100 Games),17756 / 24436 (100 Games),25657 / 21017 (100 Games)
Tit For Two Tat,,,,,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),14852 / 19292 (100 Games),30000 / 30000 (100 Games)
Grim/Spite,,,,,,,,,13500 / 13500 (45 Games),11068 / 11193 (100 Games),30000 / 30000 (100 Games)
ZD-Extortion-2,,,,,,,,,,4861 / 4876 (45 Games),23806 / 17106 (100 Games)
ZD-GTFT-2,,,,,,,,,,,13500 / 13500 (45 Games)
Generation 4
 / ,Tit For Tat,Pavlov,Generous Tit For Tat,Firm But Fair,Always Cooperate,Always Defect,Random,Tit For Two Tat,Grim/Spite,ZD-Extortion-2,ZD-GTFT-2
Tit For Tat,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),9900 / 10400 (100 Games),22420 / 22655 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),11368 / 11868 (100 Games),30000 / 30000 (100 Games)
Pavlov,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),22687 / 22522 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),16727 / 23042 (100 Games),30000 / 30000 (100 Games)
Generous Tit For Tat,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),8900 / 14400 (100 Games),21616 / 24366 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),14996 / 19231 (100 Games),30000 / 30000 (100 Games)
Firm But Fair,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),19868 / 28393 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),18883 / 26933 (100 Games),30000 / 30000 (100 Games)
Always Cooperate,,,,,13500 / 13500 (45 Games),0 / 50000 (100 Games),15168 / 39888 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),22683 / 34878 (100 Games),30000 / 30000 (100 Games)
Always Defect,,,,,,4500 / 4500 (45 Games),29928 / 5018 (100 Games),10800 / 9800 (100 Games),10400 / 9900 (100 Games),10400 / 9900 (100 Games),19164 / 7709 (100 Games)
